year,grand_prix,grand_prix_mapped,driver_number,lap_number
2023,Spielberg,Austrian_Grand_Prix,81,22.0
2023,Spielberg,Austrian_Grand_Prix,22,23.0
2023,Spielberg,Austrian_Grand_Prix,1,24.0
2023,Spielberg,Austrian_Grand_Prix,11,25.0
2023,Spielberg,Austrian_Grand_Prix,20,34.0
2023,Spielberg,Austrian_Grand_Prix,18,36.0
2023,Spielberg,Austrian_Grand_Prix,21,37.0
2023,Spielberg,Austrian_Grand_Prix,24,38.0
2023,Spielberg,Austrian_Grand_Prix,31,40.0
2023,Spielberg,Austrian_Grand_Prix,77,40.0
2023,Spielberg,Austrian_Grand_Prix,4,41.0
2023,Spielberg,Austrian_Grand_Prix,63,41.0
2023,Spielberg,Austrian_Grand_Prix,23,41.0
2023,Spielberg,Austrian_Grand_Prix,81,41.0
2023,Spielberg,Austrian_Grand_Prix,44,42.0
2023,Spielberg,Austrian_Grand_Prix,2,43.0
2023,Spielberg,Austrian_Grand_Prix,22,43.0
2023,Spielberg,Austrian_Grand_Prix,14,44.0
2023,Spielberg,Austrian_Grand_Prix,10,44.0
2023,Spielberg,Austrian_Grand_Prix,55,45.0
2023,Spielberg,Austrian_Grand_Prix,16,47.0
2023,Spielberg,Austrian_Grand_Prix,1,49.0
2023,Spielberg,Austrian_Grand_Prix,11,50.0
2023,Spielberg,Austrian_Grand_Prix,18,54.0
2023,Spielberg,Austrian_Grand_Prix,1,69.0
2023,Silverstone,British_Grand_Prix,27,7.0
2023,Silverstone,British_Grand_Prix,22,14.0
2023,Silverstone,British_Grand_Prix,16,18.0
2023,Silverstone,British_Grand_Prix,24,24.0
2023,Silverstone,British_Grand_Prix,55,26.0
2023,Silverstone,British_Grand_Prix,21,27.0
2023,Silverstone,British_Grand_Prix,63,28.0
2023,Silverstone,British_Grand_Prix,11,28.0
2023,Silverstone,British_Grand_Prix,81,29.0
2023,Silverstone,British_Grand_Prix,2,29.0
2023,Silverstone,British_Grand_Prix,10,31.0
2023,Silverstone,British_Grand_Prix,18,31.0
2023,Silverstone,British_Grand_Prix,23,32.0
2023,Silverstone,British_Grand_Prix,16,32.0
2023,Silverstone,British_Grand_Prix,77,32.0
2023,Silverstone,British_Grand_Prix,22,32.0
2023,Silverstone,British_Grand_Prix,21,32.0
2023,Silverstone,British_Grand_Prix,27,32.0
2023,Silverstone,British_Grand_Prix,1,33.0
2023,Silverstone,British_Grand_Prix,4,33.0
2023,Silverstone,British_Grand_Prix,44,33.0
2023,Silverstone,British_Grand_Prix,14,33.0
2023,Silverstone,British_Grand_Prix,24,33.0
2023,Silverstone,British_Grand_Prix,24,36.0
2023,Hungaroring,Hungarian_Grand_Prix,23,8.0
2023,Hungaroring,Hungarian_Grand_Prix,18,9.0
2023,Hungaroring,Hungarian_Grand_Prix,77,9.0
2023,Hungaroring,Hungarian_Grand_Prix,22,9.0
2023,Hungaroring,Hungarian_Grand_Prix,24,10.0
2023,Hungaroring,Hungarian_Grand_Prix,2,13.0
2023,Hungaroring,Hungarian_Grand_Prix,20,14.0
2023,Hungaroring,Hungarian_Grand_Prix,55,15.0
2023,Hungaroring,Hungarian_Grand_Prix,44,16.0
2023,Hungaroring,Hungarian_Grand_Prix,27,16.0
2023,Hungaroring,Hungarian_Grand_Prix,4,17.0
2023,Hungaroring,Hungarian_Grand_Prix,16,17.0
2023,Hungaroring,Hungarian_Grand_Prix,81,18.0
2023,Hungaroring,Hungarian_Grand_Prix,3,18.0
2023,Hungaroring,Hungarian_Grand_Prix,14,20.0
2023,Hungaroring,Hungarian_Grand_Prix,1,23.0
2023,Hungaroring,Hungarian_Grand_Prix,11,24.0
2023,Hungaroring,Hungarian_Grand_Prix,63,28.0
2023,Hungaroring,Hungarian_Grand_Prix,3,29.0
2023,Hungaroring,Hungarian_Grand_Prix,23,31.0
2023,Hungaroring,Hungarian_Grand_Prix,18,34.0
2023,Hungaroring,Hungarian_Grand_Prix,2,34.0
2023,Hungaroring,Hungarian_Grand_Prix,27,38.0
2023,Hungaroring,Hungarian_Grand_Prix,24,38.0
2023,Hungaroring,Hungarian_Grand_Prix,77,40.0
2023,Hungaroring,Hungarian_Grand_Prix,20,41.0
2023,Hungaroring,Hungarian_Grand_Prix,81,42.0
2023,Hungaroring,Hungarian_Grand_Prix,11,42.0
