race_name,car_number,lap_number,track_limit,off_track,any_violation,message
Australian_Grand_Prix,12,17,True,False,True,CAR 12 (ANT) TIME 1:37.326 DELETED - TRACK LIMITS AT TURN 4 LAP 16 15:48:48
Australian_Grand_Prix,30,30,True,False,True,CAR 30 (LAW) TIME 1:31.084 DELETED - TRACK LIMITS AT TURN 6 LAP 28 16:07:39
Australian_Grand_Prix,81,33,True,False,True,CAR 81 (PIA) TIME 1:29.379 DELETED - TRACK LIMITS AT TURN 6 LAP 32 16:12:17
Australian_Grand_Prix,81,46,True,False,True,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 44 16:36:38
Australian_Grand_Prix,4,46,True,False,True,CAR 4 (NOR) TIME 1:45.587 DELETED - TRACK LIMITS AT TURN 12 LAP 44 16:36:36
Australian_Grand_Prix,22,48,True,False,True,CAR 22 (TSU) TIME 1:35.983 DELETED - TRACK LIMITS AT TURN 12 LAP 45 16:38:17
Australian_Grand_Prix,22,49,True,False,True,CAR 22 (TSU) TIME 2:33.312 DELETED - TRACK LIMITS AT TURN 4 LAP 47 16:40:53
Australian_Grand_Prix,10,56,True,False,True,CAR 10 (GAS) TIME 1:34.967 DELETED - TRACK LIMITS AT TURN 1 LAP 54 16:54:53
Chinese_Grand_Prix,5,3,True,False,True,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 1 15:04:30
Chinese_Grand_Prix,6,7,True,False,True,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 1 15:04:33
Chinese_Grand_Prix,22,20,True,False,True,CAR 22 (TSU) TIME 1:39.932 DELETED - TRACK LIMITS AT TURN 14 LAP 16 15:30:17
Chinese_Grand_Prix,7,50,True,False,True,CAR 7 (DOO) TIME 1:38.345 DELETED - TRACK LIMITS AT TURN 14 LAP 45 16:17:53
Chinese_Grand_Prix,6,50,True,False,True,CAR 6 (HAD) TIME 1:38.600 DELETED - TRACK LIMITS AT TURN 14 LAP 45 16:17:53
Japanese_Grand_Prix,12,3,True,False,True,CAR 12 (ANT) TIME 1:34.531 DELETED - TRACK LIMITS AT TURN 17 LAP 2 14:06:57
Japanese_Grand_Prix,55,17,True,False,True,CAR 55 (SAI) TIME 1:34.451 DELETED - TRACK LIMITS AT TURN 17 LAP 15 14:27:34
