Circuit,n_test,MAE
Spa-Francorchamps,,0.4197250495907511
Enzo e Dino Ferrari,,0.3470024277921902
Zandvoort,,0.3181710293630561
Bahrain,,0.3108469874601627
Red Bull Ring,,0.2695871954084153
