Circuit,n_test,MAE
Spa-Francorchamps,1611,0.41312576636897275
Enzo e Dino Ferrari,1046,0.3691872440683497
Bahrain,1672,0.33894136129072644
Zandvoort,1301,0.3142050864004469
Red Bull Ring,1346,0.2825998421133178
