block,n_features,test_MAE,test_RMSE,test_R2,median_MAE_per_circuit,IQR_MAE_per_circuit,tree_depth,tree_leaves,CV_MAE,best_params,ΔMAE_vs_prev
Tyre+Weather+State,21,0.34512408656615695,0.5165373946601568,0.2516965355387384,0.33894136129072644,0.054982157667902765,6,27,0.3723492831738091,"{""model__ccp_alpha"": 0.0005, ""model__max_depth"": 6, ""model__max_features"": 0.5, ""model__max_leaf_nodes"": null, ""model__min_samples_leaf"": 20, ""model__min_samples_split"": 2}",
Tyre+Weather+State+Geometry,32,0.4833661687577417,0.7913818728253437,-0.7564929740392039,0.36272803154294947,0.13051013181664683,9,50,0.3731174903024399,"{""model__ccp_alpha"": 0.0005, ""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__max_leaf_nodes"": 64, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",0.13824208219158474
