Circuit,n_test,MAE
Enzo e Dino Ferrari,1046,0.5154895270822157
Spa-Francorchamps,1611,0.5095031414684221
Bahrain,1672,0.47644608019895845
Red Bull Ring,1346,0.43033241902702996
Zandvoort,1301,0.3956492293957415
