Circuit,n_test,MAE
Spa-Francorchamps,1611,0.5174457945878153
Bahrain,1672,0.49120469108774617
Enzo e Dino Ferrari,1046,0.4834372788926182
Zandvoort,1301,0.47754458209338513
Red Bull Ring,1346,0.3294842802769395
