block,n_features,test_MAE,test_RMSE,test_R2,median_MAE_per_circuit,IQR_MAE_per_circuit,n_estimators,CV_MAE,best_params,ΔMAE_vs_prev
1) Tyre,6,0.4659685401061534,0.6534924831982409,-0.1977203084145136,0.47644608019895845,0.07917072244139217,100,0.4458860425771163,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",
2) Tyre+Weather,12,0.4657457926545821,0.6612554666618121,-0.22634530106527295,0.48936704349209514,0.035337375680863314,100,0.4574017040129023,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",-0.0002227474515713035
3) Tyre+Weather+State,21,0.3348488986551276,0.4859136524253802,0.3377950493445686,0.34043913524117103,0.03757508274840271,600,0.35182670831470775,"{""model__max_depth"": 12, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 20, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}",-0.13089689399945448
4) Tyre+Weather+State+Geometry,32,0.33340332636473985,0.48421425445134597,0.34241884161305525,0.3360977455854336,0.04381989988245932,600,0.34736272790340705,"{""model__max_depth"": 16, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 20, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}",-0.0014455722903877755
