Circuit,n_test,MAE
Spa-Francorchamps,1611,0.510868052899148
Enzo e Dino Ferrari,1046,0.4854102853498165
Bahrain,1672,0.4530489908507641
Red Bull Ring,1346,0.39886288040782314
Zandvoort,1301,0.3749199501596672
