Circuit,MAE
Spa-Francorchamps,0.43910090786170414
Enzo e Dino Ferrari,0.3514749098834906
Zandvoort,0.3041101898563549
Red Bull Ring,0.30303357315801455
Bahrain,0.30292240038560403
