Circuit,n_test,MAE
Spa-Francorchamps,1611,0.9146131785949166
Bahrain,1672,0.4387572760471769
Enzo e Dino Ferrari,1046,0.36272803154294947
Zandvoort,1301,0.30824714423053007
Red Bull Ring,1346,0.28564289847612956
