Feature,Importance
Pressure,6.278156525943291
AirTemp,2.02734767937167
Humidity,0.870253936352013
TrackTemp,0.6344616547642623
WindSpeed,0.01765966733895996
TyreAgeAtStart,0.011095713814800678
in_clean_air,0.006617169048802163
laptime_cumulative_trend,0.0051518328874815555
in_drs_range,0.0023524828981997814
Compound_SOFT,0.002004330477723304
laptime_rolling_std_3,0.0004048155094862338
laptime_change_prev,0.00037330186441919544
is_leader,0.00035840275026144397
pushing,0.00018139960182383952
in_dirty_air,0.00015109469226559646
