Circuit,n_test,MAE
Spa-Francorchamps,1611,0.39996069962728104
Enzo e Dino Ferrari,1046,0.3428959448933366
Bahrain,1672,0.34043913524117103
Zandvoort,1301,0.30532086214493387
Red Bull Ring,1346,0.27226106670608735
