block,n_features,test_MAE,test_RMSE,test_R2,median_MAE_per_circuit,IQR_MAE_per_circuit,n_iter,CV_MAE,best_params,ΔMAE_vs_prev
1) Tyre,6,0.44622789515274797,0.6357827440361891,-0.13368315428094268,0.4530489908507641,0.08654740494199337,100,0.43268723217558674,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.01, ""model__max_depth"": 5, ""model__max_iter"": 100, ""model__min_samples_leaf"": 100}",
2) Tyre+Weather,12,0.46234893274908473,0.6703819250180728,-0.26043023671488785,0.4834372788926182,0.013660108994361042,300,0.4502644954558587,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__max_iter"": 300, ""model__min_samples_leaf"": 20}",0.016121037596336762
3) Tyre+Weather+State,21,0.3348168909999694,0.49888172022025773,0.30197753099462965,0.31817102936305613,0.0361554403320275,100,0.3616067196061203,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__max_iter"": 100, ""model__min_samples_leaf"": 50}",-0.1275320417491153
4) Tyre+Weather+State+Geometry,32,0.34189379561666744,0.5068097615817534,0.2796158267375958,0.3041101898563549,0.04844133672547607,1000,0.3594002616288015,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__max_iter"": 1000, ""model__min_samples_leaf"": 20}",0.007076904616698021
