Circuit,n_test,MAE
Spa-Francorchamps,1611,0.3989496974744937
Enzo e Dino Ferrari,1046,0.34480294878109463
Bahrain,1672,0.3360977455854336
Zandvoort,1301,0.3009830488986353
Red Bull Ring,1346,0.27408274920358194
