Circuit,n_test,MAE
Spa-Francorchamps,1611,0.4197250495907511
Enzo e Dino Ferrari,1046,0.34700242779219026
Zandvoort,1301,0.31817102936305613
Bahrain,1672,0.31084698746016276
Red Bull Ring,1346,0.26958719540841536
