Circuit,n_test,MAE
Spa-Francorchamps,1611,0.43910090786170414
Enzo e Dino Ferrari,1046,0.3514749098834906
Zandvoort,1301,0.3041101898563549
Red Bull Ring,1346,0.30303357315801455
Bahrain,1672,0.30292240038560403
