meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start,grand_prix,race_session_key
1229,9472,1,1,1.0,17.0,SOFT,3,Sakhir,9472
1229,9472,1,3,1.0,13.0,SOFT,3,Sakhir,9472
1229,9472,1,14,1.0,15.0,SOFT,3,Sakhir,9472
1229,9472,1,10,1.0,12.0,SOFT,0,Sakhir,9472
1229,9472,1,81,1.0,12.0,SOFT,3,Sakhir,9472
1229,9472,1,18,1.0,9.0,SOFT,0,Sakhir,9472
1229,9472,1,27,1.0,1.0,SOFT,0,Sakhir,9472
1229,9472,1,22,1.0,14.0,SOFT,0,Sakhir,9472
1229,9472,1,31,1.0,10.0,SOFT,0,Sakhir,9472
1229,9472,1,4,1.0,13.0,SOFT,3,Sakhir,9472
1229,9472,1,2,1.0,10.0,SOFT,0,Sakhir,9472
1229,9472,1,77,1.0,12.0,SOFT,0,Sakhir,9472
1229,9472,1,63,1.0,11.0,SOFT,3,Sakhir,9472
1229,9472,1,23,1.0,15.0,SOFT,0,Sakhir,9472
1229,9472,1,16,1.0,11.0,SOFT,3,Sakhir,9472
1229,9472,1,44,1.0,12.0,SOFT,3,Sakhir,9472
1229,9472,1,20,1.0,11.0,SOFT,0,Sakhir,9472
1229,9472,1,11,1.0,12.0,SOFT,3,Sakhir,9472
1229,9472,1,24,1.0,9.0,SOFT,0,Sakhir,9472
1229,9472,1,55,1.0,14.0,SOFT,3,Sakhir,9472
1229,9472,2,27,2.0,20.0,HARD,0,Sakhir,9472
1229,9472,2,24,10.0,28.0,HARD,0,Sakhir,9472
1229,9472,2,18,10.0,27.0,HARD,0,Sakhir,9472
1229,9472,2,31,11.0,30.0,HARD,0,Sakhir,9472
1229,9472,2,2,11.0,28.0,HARD,0,Sakhir,9472
1229,9472,2,63,12.0,31.0,HARD,0,Sakhir,9472
1229,9472,2,16,12.0,34.0,HARD,0,Sakhir,9472
1229,9472,2,20,12.0,32.0,HARD,0,Sakhir,9472
1229,9472,2,11,13.0,36.0,HARD,0,Sakhir,9472
1229,9472,2,81,13.0,34.0,HARD,0,Sakhir,9472
1229,9472,2,44,13.0,33.0,HARD,0,Sakhir,9472
1229,9472,2,77,13.0,30.0,HARD,0,Sakhir,9472
1229,9472,2,10,13.0,31.0,HARD,0,Sakhir,9472
1229,9472,2,4,14.0,33.0,HARD,0,Sakhir,9472
1229,9472,2,3,14.0,35.0,HARD,0,Sakhir,9472
1229,9472,2,55,15.0,35.0,HARD,0,Sakhir,9472
1229,9472,2,22,15.0,34.0,HARD,0,Sakhir,9472
1229,9472,2,14,16.0,41.0,HARD,0,Sakhir,9472
1229,9472,2,23,16.0,36.0,HARD,0,Sakhir,9472
1229,9472,2,1,18.0,37.0,HARD,0,Sakhir,9472
1229,9472,3,27,21.0,41.0,HARD,0,Sakhir,9472
1229,9472,3,18,28.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,24,29.0,56.0,HARD,0,Sakhir,9472
1229,9472,3,2,29.0,40.0,HARD,0,Sakhir,9472
1229,9472,3,31,31.0,56.0,HARD,0,Sakhir,9472
1229,9472,3,63,32.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,77,31.0,56.0,HARD,0,Sakhir,9472
1229,9472,3,10,32.0,43.0,HARD,0,Sakhir,9472
1229,9472,3,20,33.0,56.0,HARD,0,Sakhir,9472
1229,9472,3,4,34.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,44,34.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,16,35.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,81,35.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,22,35.0,56.0,HARD,0,Sakhir,9472
1229,9472,3,55,36.0,57.0,HARD,0,Sakhir,9472
1229,9472,3,3,36.0,56.0,SOFT,0,Sakhir,9472
1229,9472,3,11,37.0,57.0,SOFT,0,Sakhir,9472
1229,9472,3,23,37.0,56.0,HARD,0,Sakhir,9472
1229,9472,3,1,38.0,57.0,SOFT,0,Sakhir,9472
1229,9472,3,14,42.0,57.0,HARD,0,Sakhir,9472
1229,9472,4,2,41.0,55.0,SOFT,0,Sakhir,9472
1229,9472,4,27,42.0,56.0,SOFT,0,Sakhir,9472
1229,9472,4,10,44.0,56.0,SOFT,0,Sakhir,9472
1230,9480,1,22,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,2,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,11,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,23,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,63,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,18,1.0,5.0,MEDIUM,1,Jeddah,9480
1230,9480,1,44,1.0,36.0,MEDIUM,0,Jeddah,9480
1230,9480,1,3,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,14,1.0,7.0,MEDIUM,1,Jeddah,9480
1230,9480,1,4,1.0,37.0,MEDIUM,0,Jeddah,9480
1230,9480,1,24,1.0,41.0,MEDIUM,0,Jeddah,9480
1230,9480,1,10,1.0,1.0,MEDIUM,0,Jeddah,9480
1230,9480,1,81,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,20,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,31,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,77,1.0,7.0,SOFT,0,Jeddah,9480
1230,9480,1,1,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,27,1.0,33.0,MEDIUM,0,Jeddah,9480
1230,9480,1,16,1.0,7.0,MEDIUM,0,Jeddah,9480
1230,9480,1,38,1.0,7.0,SOFT,0,Jeddah,9480
1230,9480,2,1,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,11,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,16,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,14,8.0,50.0,HARD,1,Jeddah,9480
1230,9480,2,81,8.0,50.0,HARD,1,Jeddah,9480
1230,9480,2,63,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,20,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,22,8.0,49.0,HARD,0,Jeddah,9480
1230,9480,2,38,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,23,8.0,50.0,HARD,0,Jeddah,9480
1230,9480,2,77,8.0,35.0,HARD,0,Jeddah,9480
1230,9480,2,2,8.0,49.0,HARD,0,Jeddah,9480
1230,9480,2,31,8.0,49.0,HARD,0,Jeddah,9480
1230,9480,2,3,8.0,49.0,HARD,0,Jeddah,9480
1230,9480,2,27,34.0,50.0,HARD,0,Jeddah,9480
1230,9480,3,77,36.0,49.0,SOFT,0,Jeddah,9480
1230,9480,2,44,37.0,50.0,SOFT,3,Jeddah,9480
1230,9480,2,4,38.0,50.0,SOFT,1,Jeddah,9480
1230,9480,2,24,42.0,49.0,SOFT,0,Jeddah,9480
1231,9488,1,27,1.0,17.0,HARD,0,Melbourne,9488
1231,9488,1,16,1.0,9.0,MEDIUM,0,Melbourne,9488
1231,9488,1,11,1.0,14.0,MEDIUM,0,Melbourne,9488
1231,9488,1,22,1.0,9.0,MEDIUM,0,Melbourne,9488
1231,9488,1,63,1.0,8.0,MEDIUM,0,Melbourne,9488
1231,9488,1,18,1.0,8.0,MEDIUM,1,Melbourne,9488
1231,9488,1,14,1.0,17.0,HARD,1,Melbourne,9488
1231,9488,1,23,1.0,6.0,MEDIUM,0,Melbourne,9488
1231,9488,1,3,1.0,5.0,SOFT,0,Melbourne,9488
1231,9488,1,4,1.0,14.0,MEDIUM,0,Melbourne,9488
1231,9488,1,24,1.0,6.0,SOFT,1,Melbourne,9488
1231,9488,1,55,1.0,16.0,MEDIUM,0,Melbourne,9488
1231,9488,1,44,1.0,7.0,SOFT,0,Melbourne,9488
1231,9488,1,10,1.0,17.0,MEDIUM,0,Melbourne,9488
1231,9488,1,81,1.0,9.0,MEDIUM,0,Melbourne,9488
1231,9488,1,20,1.0,7.0,MEDIUM,0,Melbourne,9488
1231,9488,1,31,1.0,9.0,MEDIUM,0,Melbourne,9488
1231,9488,1,77,1.0,8.0,MEDIUM,1,Melbourne,9488
1231,9488,1,1,1.0,3.0,MEDIUM,0,Melbourne,9488
1231,9488,2,3,5.0,29.0,HARD,0,Melbourne,9488
1231,9488,2,23,6.0,27.0,HARD,0,Melbourne,9488
1231,9488,2,24,6.0,35.0,HARD,1,Melbourne,9488
1231,9488,2,44,7.0,15.0,HARD,0,Melbourne,9488
1231,9488,2,20,7.0,33.0,HARD,0,Melbourne,9488
1231,9488,2,63,8.0,45.0,HARD,0,Melbourne,9488
1231,9488,2,18,8.0,37.0,HARD,1,Melbourne,9488
1231,9488,2,77,8.0,36.0,HARD,0,Melbourne,9488
1231,9488,2,81,9.0,39.0,HARD,1,Melbourne,9488
1231,9488,2,16,9.0,34.0,HARD,0,Melbourne,9488
1231,9488,2,22,9.0,36.0,HARD,0,Melbourne,9488
1231,9488,2,31,9.0,16.0,HARD,0,Melbourne,9488
1231,9488,2,4,14.0,40.0,HARD,1,Melbourne,9488
1231,9488,2,11,14.0,35.0,HARD,0,Melbourne,9488
1231,9488,2,55,16.0,41.0,HARD,0,Melbourne,9488
1231,9488,3,31,16.0,42.0,HARD,0,Melbourne,9488
1231,9488,2,14,17.0,41.0,MEDIUM,1,Melbourne,9488
1231,9488,2,27,17.0,35.0,MEDIUM,0,Melbourne,9488
1231,9488,2,10,17.0,41.0,HARD,0,Melbourne,9488
1231,9488,3,23,27.0,57.0,HARD,0,Melbourne,9488
1231,9488,3,3,29.0,57.0,HARD,0,Melbourne,9488
1231,9488,3,20,33.0,57.0,HARD,0,Melbourne,9488
1231,9488,3,16,34.0,58.0,HARD,0,Melbourne,9488
1231,9488,3,11,35.0,58.0,HARD,0,Melbourne,9488
1231,9488,3,27,35.0,58.0,HARD,0,Melbourne,9488
1231,9488,3,24,35.0,57.0,HARD,0,Melbourne,9488
1231,9488,3,22,36.0,58.0,HARD,0,Melbourne,9488
1231,9488,3,77,36.0,57.0,HARD,0,Melbourne,9488
1231,9488,3,18,37.0,58.0,HARD,0,Melbourne,9488
1231,9488,3,81,39.0,58.0,HARD,1,Melbourne,9488
1231,9488,3,4,40.0,58.0,HARD,1,Melbourne,9488
1231,9488,3,55,41.0,58.0,HARD,0,Melbourne,9488
1231,9488,3,14,41.0,58.0,HARD,1,Melbourne,9488
1231,9488,3,10,41.0,57.0,HARD,0,Melbourne,9488
1231,9488,4,31,42.0,57.0,HARD,7,Melbourne,9488
1231,9488,3,63,45.0,56.0,HARD,0,Melbourne,9488
1232,9496,1,1,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,81,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,63,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,3,,,MEDIUM,0,Suzuka,9496
1232,9496,1,4,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,44,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,22,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,24,1.0,1.0,MEDIUM,0,Suzuka,9496
1232,9496,1,77,1.0,1.0,SOFT,0,Suzuka,9496
1232,9496,1,10,1.0,1.0,SOFT,0,Suzuka,9496
1232,9496,1,23,,,SOFT,0,Suzuka,9496
