Feature,Importance
heavy_braking_zones,0.3797485720282863
TrackTemp,0.32701281078835354
LapInStint,0.2210319277008906
Humidity,0.0722066894824695
LapTime,0.0
avg_corner_angle,0.0
Compound_MEDIUM,0.0
Compound_HARD,0.0
TyreAgeAtStart,0.0
wind_cos,0.0
wind_sin,0.0
Pressure,0.0
AirTemp,0.0
drs_total_len_m,0.0
avg_corner_distance,0.0
hb_at_end_of_max,0.0
heavy_braking_mean_dv_kmh,0.0
n_major_straights,0.0
straight_len_max_m,0.0
straight_ratio,0.0
slow_cluster_max,0.0
fast_share,0.0
medium_share,0.0
slow_share,0.0
num_turns,0.0
length_km,0.0
LapInStint_squared,0.0
Compound_SOFT,0.0
