meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start,grand_prix,race_session_key
1255,9998,2,87,27.0,56.0,MEDIUM,0,Shanghai,9998
1255,9998,3,5,27.0,55.0,HARD,0,Shanghai,9998
1255,9998,3,30,31.0,56.0,HARD,0,Shanghai,9998
1255,9998,3,6,34.0,56.0,HARD,0,Shanghai,9998
1255,9998,3,22,36.0,46.0,HARD,0,Shanghai,9998
1255,9998,2,18,37.0,56.0,MEDIUM,0,Shanghai,9998
1255,9998,3,44,38.0,56.0,HARD,0,Shanghai,9998
1255,9998,4,22,47.0,55.0,MEDIUM,6,Shanghai,9998
1256,10006,1,12,1.0,31.0,MEDIUM,0,Suzuka,10006
1256,10006,1,63,1.0,19.0,MEDIUM,0,Suzuka,10006
1256,10006,1,7,1.0,15.0,SOFT,0,Suzuka,10006
1256,10006,1,18,1.0,9.0,SOFT,0,Suzuka,10006
1256,10006,1,14,1.0,24.0,MEDIUM,1,Suzuka,10006
1256,10006,1,23,1.0,24.0,MEDIUM,0,Suzuka,10006
1256,10006,1,4,1.0,21.0,MEDIUM,0,Suzuka,10006
1256,10006,1,55,1.0,33.0,MEDIUM,0,Suzuka,10006
1256,10006,1,44,1.0,30.0,HARD,0,Suzuka,10006
1256,10006,1,10,1.0,24.0,MEDIUM,0,Suzuka,10006
1256,10006,1,30,1.0,33.0,MEDIUM,0,Suzuka,10006
1256,10006,1,81,1.0,20.0,MEDIUM,0,Suzuka,10006
1256,10006,1,5,1.0,31.0,HARD,0,Suzuka,10006
1256,10006,1,31,1.0,32.0,HARD,1,Suzuka,10006
1256,10006,1,6,1.0,25.0,MEDIUM,0,Suzuka,10006
1256,10006,1,1,1.0,21.0,MEDIUM,0,Suzuka,10006
1256,10006,1,16,1.0,21.0,MEDIUM,0,Suzuka,10006
1256,10006,1,87,1.0,23.0,MEDIUM,0,Suzuka,10006
1256,10006,1,27,1.0,22.0,MEDIUM,0,Suzuka,10006
1256,10006,1,22,1.0,23.0,MEDIUM,0,Suzuka,10006
1256,10006,2,18,10.0,30.0,HARD,1,Suzuka,10006
1256,10006,2,7,16.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,63,20.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,81,21.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,1,22.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,4,22.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,16,22.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,27,23.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,87,24.0,53.0,HARD,1,Suzuka,10006
1256,10006,2,22,24.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,23,25.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,14,25.0,53.0,HARD,1,Suzuka,10006
1256,10006,2,10,25.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,6,26.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,44,31.0,53.0,MEDIUM,0,Suzuka,10006
1256,10006,3,18,31.0,52.0,MEDIUM,0,Suzuka,10006
1256,10006,2,12,32.0,53.0,HARD,0,Suzuka,10006
1256,10006,2,5,32.0,53.0,MEDIUM,0,Suzuka,10006
1256,10006,2,31,33.0,53.0,MEDIUM,0,Suzuka,10006
1256,10006,2,55,34.0,53.0,SOFT,0,Suzuka,10006
1256,10006,2,30,34.0,53.0,SOFT,0,Suzuka,10006
1257,10014,1,18,1.0,12.0,SOFT,0,Sakhir,10014
1257,10014,1,4,1.0,10.0,SOFT,3,Sakhir,10014
1257,10014,1,55,1.0,14.0,SOFT,3,Sakhir,10014
1257,10014,1,44,1.0,17.0,MEDIUM,0,Sakhir,10014
1257,10014,1,30,1.0,14.0,MEDIUM,0,Sakhir,10014
1257,10014,1,5,1.0,13.0,MEDIUM,0,Sakhir,10014
1257,10014,1,14,1.0,16.0,MEDIUM,0,Sakhir,10014
1257,10014,1,10,1.0,10.0,SOFT,3,Sakhir,10014
1257,10014,1,81,1.0,14.0,SOFT,3,Sakhir,10014
1257,10014,1,16,1.0,17.0,MEDIUM,0,Sakhir,10014
1257,10014,1,22,1.0,11.0,SOFT,3,Sakhir,10014
1257,10014,1,87,1.0,14.0,SOFT,0,Sakhir,10014
1257,10014,1,31,1.0,8.0,SOFT,0,Sakhir,10014
1257,10014,1,6,1.0,6.0,SOFT,0,Sakhir,10014
1257,10014,1,12,1.0,12.0,SOFT,3,Sakhir,10014
1257,10014,1,63,1.0,13.0,SOFT,3,Sakhir,10014
1257,10014,1,7,1.0,9.0,SOFT,0,Sakhir,10014
1257,10014,1,27,1.0,5.0,SOFT,0,Sakhir,10014
1257,10014,1,23,1.0,16.0,SOFT,0,Sakhir,10014
1257,10014,1,1,1.0,10.0,SOFT,3,Sakhir,10014
1257,10014,2,27,6.0,27.0,MEDIUM,0,Sakhir,10014
1257,10014,2,6,7.0,28.0,MEDIUM,0,Sakhir,10014
1257,10014,2,31,9.0,27.0,MEDIUM,0,Sakhir,10014
1257,10014,2,7,10.0,28.0,MEDIUM,0,Sakhir,10014
1257,10014,2,4,11.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,1,11.0,26.0,HARD,0,Sakhir,10014
1257,10014,2,10,11.0,28.0,MEDIUM,0,Sakhir,10014
1257,10014,2,22,12.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,12,13.0,27.0,MEDIUM,0,Sakhir,10014
1257,10014,2,18,13.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,63,14.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,5,14.0,32.0,HARD,0,Sakhir,10014
1257,10014,2,81,15.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,55,15.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,87,15.0,32.0,HARD,0,Sakhir,10014
1257,10014,2,30,15.0,32.0,HARD,0,Sakhir,10014
1257,10014,2,23,17.0,32.0,HARD,0,Sakhir,10014
1257,10014,2,14,17.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,16,18.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,2,44,18.0,32.0,MEDIUM,0,Sakhir,10014
1257,10014,3,1,27.0,57.0,MEDIUM,0,Sakhir,10014
1257,10014,3,12,28.0,32.0,SOFT,3,Sakhir,10014
1257,10014,3,31,28.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,27,28.0,57.0,MEDIUM,0,Sakhir,10014
1257,10014,3,10,29.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,7,29.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,6,29.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,81,33.0,57.0,MEDIUM,0,Sakhir,10014
1257,10014,3,63,33.0,57.0,SOFT,3,Sakhir,10014
1257,10014,3,16,33.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,4,33.0,57.0,MEDIUM,0,Sakhir,10014
1257,10014,3,44,33.0,57.0,HARD,0,Sakhir,10014
1257,10014,3,55,33.0,44.0,HARD,0,Sakhir,10014
1257,10014,3,22,33.0,57.0,SOFT,0,Sakhir,10014
1257,10014,3,87,33.0,57.0,SOFT,0,Sakhir,10014
1257,10014,4,12,33.0,57.0,SOFT,3,Sakhir,10014
