Circuit,n,MAE_Linear,bias_Linear,MAE_RF,bias_RF,ΔMAE,RF_better
Bahrain,1672,0.4241238072228757,0.3517388601275217,0.3360977455854336,0.2008778876270567,-0.08802606163744209,True
Enzo e Dino Ferrari,1046,0.3844810271652833,0.154723194273669,0.3448029487810946,0.0495909530799957,-0.03967807838418874,True
Spa-Francorchamps,1611,0.431284913853684,0.1282637025156994,0.3989496974744937,0.0994169921205784,-0.03233521637919029,True
Red Bull Ring,1346,0.3057464064753239,0.0511869037915283,0.2740827492035819,0.0659335908534041,-0.03166365727174203,True
Zandvoort,1301,0.3077290356569419,0.1159243412938954,0.3009830488986353,0.05245959325849,-0.006745986758306566,True
