Compound,MAE,bias,n,model
MEDIUM,0.3470586166845216,-0.13851228105339694,3057,Linear
MEDIUM,0.30545751349204286,-0.08854776349704468,3057,RF
HARD,0.3860037676016961,-0.1617205585443759,2922,Linear
HARD,0.3474291888591676,-0.07325620780712755,2922,RF
SOFT,0.4304223617638398,-0.28115976467013065,997,Linear
SOFT,0.37798384767177734,-0.2208145749603324,997,RF
