phase,MAE,bias,n,model
early,0.36270178322983104,-0.07020138661644507,2018,Linear
early,0.34689387816141315,-0.09367326897917223,2018,RF
mid,0.3392667134321587,-0.15648747379184974,2141,Linear
mid,0.30131893671132387,-0.07336768268840212,2141,RF
late,0.413238251724728,-0.2609520637593948,2314,Linear
late,0.3439013340132845,-0.11952927521494869,2314,RF
