season_year,grand_prix,driver_number,lap_number
2023,Spa-Francorchamps,22,9.0
2023,Spa-Francorchamps,14,10.0
2023,Spa-Francorchamps,44,12.0
2023,Spa-Francorchamps,27,12.0
2023,Spa-Francorchamps,11,13.0
2023,Spa-Francorchamps,16,13.0
2023,Spa-Francorchamps,1,14.0
2023,Spa-Francorchamps,4,17.0
2023,Spa-Francorchamps,18,20.0
2023,Spa-Francorchamps,63,22.0
2023,Spa-Francorchamps,3,22.0
2023,Spa-Francorchamps,23,23.0
2023,Spa-Francorchamps,10,23.0
2023,Spa-Francorchamps,22,24.0
2023,Spa-Francorchamps,77,24.0
2023,Spa-Francorchamps,27,24.0
2023,Spa-Francorchamps,2,24.0
2023,Spa-Francorchamps,31,25.0
2023,Spa-Francorchamps,20,25.0
2023,Spa-Francorchamps,24,25.0
2023,Spa-Francorchamps,44,27.0
2023,Spa-Francorchamps,16,28.0
2023,Spa-Francorchamps,11,29.0
2023,Spa-Francorchamps,14,29.0
2023,Spa-Francorchamps,1,30.0
2023,Spa-Francorchamps,23,33.0
2023,Spa-Francorchamps,2,34.0
2023,Spa-Francorchamps,44,42.0
2023,Zandvoort,11,1.0
2023,Zandvoort,24,1.0
2023,Zandvoort,10,1.0
2023,Zandvoort,16,1.0
2023,Zandvoort,22,1.0
2023,Zandvoort,20,1.0
2023,Zandvoort,40,1.0
2023,Zandvoort,1,2.0
2023,Zandvoort,14,2.0
2023,Zandvoort,55,2.0
2023,Zandvoort,31,2.0
2023,Zandvoort,4,3.0
2023,Zandvoort,44,3.0
2023,Zandvoort,63,4.0
2023,Zandvoort,18,4.0
2023,Zandvoort,20,9.0
2023,Zandvoort,44,9.0
2023,Zandvoort,18,9.0
2023,Zandvoort,24,10.0
2023,Zandvoort,14,10.0
2023,Zandvoort,55,10.0
2023,Zandvoort,22,10.0
2023,Zandvoort,31,10.0
2023,Zandvoort,4,10.0
2023,Zandvoort,40,10.0
2023,Zandvoort,63,10.0
2023,Zandvoort,1,11.0
2023,Zandvoort,10,11.0
2023,Zandvoort,16,11.0
2023,Zandvoort,11,12.0
2023,Zandvoort,81,15.0
2023,Zandvoort,77,16.0
2023,Zandvoort,27,16.0
2023,Zandvoort,63,16.0
2023,Zandvoort,18,16.0
2023,Zandvoort,40,17.0
2023,Zandvoort,18,34.0
2023,Zandvoort,20,35.0
2023,Zandvoort,24,37.0
2023,Zandvoort,55,41.0
2023,Zandvoort,4,42.0
2023,Zandvoort,31,43.0
2023,Zandvoort,23,44.0
2023,Zandvoort,11,45.0
2023,Zandvoort,44,45.0
2023,Zandvoort,10,46.0
2023,Zandvoort,81,46.0
2023,Zandvoort,40,46.0
2023,Zandvoort,77,47.0
2023,Zandvoort,14,48.0
2023,Zandvoort,27,48.0
2023,Zandvoort,1,49.0
2023,Zandvoort,77,59.0
2023,Zandvoort,40,59.0
2023,Zandvoort,11,60.0
2023,Zandvoort,10,60.0
2023,Zandvoort,55,60.0
2023,Zandvoort,44,60.0
2023,Zandvoort,4,60.0
2023,Zandvoort,63,60.0
2023,Zandvoort,81,60.0
2023,Zandvoort,22,60.0
2023,Zandvoort,24,60.0
2023,Zandvoort,18,60.0
2023,Zandvoort,27,60.0
2023,Zandvoort,1,61.0
2023,Zandvoort,20,60.0
2023,Zandvoort,14,61.0
2023,Zandvoort,23,61.0
2023,Zandvoort,31,61.0
2023,Zandvoort,1,63.0
2023,Zandvoort,11,63.0
2023,Zandvoort,4,63.0
2023,Zandvoort,63,63.0
2023,Zandvoort,23,63.0
2023,Zandvoort,81,63.0
2023,Zandvoort,31,63.0
2023,Zandvoort,22,63.0
2023,Zandvoort,18,63.0
2023,Zandvoort,27,63.0
2023,Zandvoort,77,63.0
2023,Zandvoort,40,63.0
2023,Zandvoort,20,63.0
2023,Zandvoort,1,64.0
2023,Zandvoort,14,64.0
2023,Zandvoort,11,64.0
2023,Zandvoort,10,64.0
2023,Zandvoort,55,64.0
2023,Zandvoort,44,64.0
2023,Zandvoort,4,64.0
2023,Zandvoort,63,64.0
2023,Zandvoort,23,64.0
2023,Zandvoort,81,64.0
2023,Zandvoort,31,64.0
2023,Zandvoort,22,64.0
2023,Zandvoort,18,64.0
2023,Zandvoort,27,64.0
2023,Zandvoort,77,64.0
2023,Zandvoort,40,64.0
2023,Zandvoort,20,64.0
2023,Zandvoort,63,67.0
2023,Monza,10,10.0
2023,Monza,24,11.0
2023,Monza,20,12.0
2023,Monza,40,13.0
2023,Monza,2,14.0
2023,Monza,27,14.0
2023,Monza,23,15.0
2023,Monza,55,19.0
2023,Monza,63,19.0
2023,Monza,1,20.0
2023,Monza,16,20.0
2023,Monza,18,20.0
2023,Monza,11,21.0
2023,Monza,14,21.0
2023,Monza,4,22.0
2023,Monza,81,23.0
2023,Monza,31,24.0
2023,Monza,77,25.0
2023,Monza,44,27.0
2023,Monza,10,31.0
2023,Monza,40,33.0
2023,Monza,24,33.0
2023,Monza,20,33.0
2023,Monza,27,39.0
2023,Monza,81,41.0
2023,Singapore,24,2.0
2023,Singapore,2,19.0
2023,Singapore,55,20.0
2023,Singapore,63,20.0
2023,Singapore,4,20.0
2023,Singapore,16,20.0
2023,Singapore,44,20.0
2023,Singapore,14,20.0
2023,Singapore,31,20.0
2023,Singapore,20,20.0
2023,Singapore,10,20.0
2023,Singapore,81,20.0
2023,Singapore,40,20.0
2023,Singapore,27,20.0
2023,Singapore,23,20.0
2023,Singapore,24,20.0
2023,Singapore,11,39.0
2023,Singapore,1,40.0
2023,Singapore,77,40.0
2023,Singapore,23,43.0
2023,Singapore,20,43.0
2023,Singapore,2,43.0
2023,Singapore,63,44.0
2023,Singapore,44,44.0
2023,Singapore,14,44.0
2023,Suzuka,31,1.0
2023,Suzuka,24,1.0
2023,Suzuka,23,1.0
2023,Suzuka,77,1.0
2023,Suzuka,11,2.0
2023,Suzuka,2,2.0
2023,Suzuka,2,5.0
2023,Suzuka,77,6.0
2023,Suzuka,27,8.0
2023,Suzuka,22,9.0
2023,Suzuka,40,10.0
2023,Suzuka,24,10.0
2023,Suzuka,14,11.0
2023,Suzuka,20,12.0
2023,Suzuka,11,12.0
2023,Suzuka,81,13.0
2023,Suzuka,23,13.0
2023,Suzuka,18,14.0
2023,Suzuka,1,16.0
2023,Suzuka,44,16.0
2023,Suzuka,4,17.0
2023,Suzuka,16,17.0
2023,Suzuka,55,18.0
2023,Suzuka,10,18.0
2023,Suzuka,27,21.0
2023,Suzuka,2,21.0
2023,Suzuka,63,24.0
2023,Suzuka,14,25.0
2023,Suzuka,40,25.0
2023,Suzuka,31,28.0
2023,Suzuka,24,29.0
2023,Suzuka,22,30.0
2023,Suzuka,20,31.0
2023,Suzuka,16,34.0
2023,Suzuka,44,34.0
2023,Suzuka,10,34.0
2023,Suzuka,81,35.0
2023,Suzuka,4,36.0
2023,Suzuka,1,37.0
2023,Suzuka,27,37.0
2023,Suzuka,55,38.0
2023,Suzuka,11,13.0
2023,Suzuka,11,14.0
2023,Lusail,63,1.0
2023,Lusail,77,3.0
2023,Lusail,20,3.0
2023,Lusail,18,3.0
2023,Lusail,40,3.0
2023,Lusail,22,9.0
2023,Lusail,31,10.0
2023,Lusail,14,11.0
2023,Lusail,10,11.0
2023,Lusail,81,12.0
2023,Lusail,16,12.0
2023,Lusail,4,13.0
2023,Lusail,2,13.0
2023,Lusail,27,13.0
2023,Lusail,63,14.0
2023,Lusail,1,17.0
2023,Lusail,11,17.0
2023,Lusail,23,18.0
2023,Lusail,24,18.0
2023,Lusail,77,21.0
2023,Lusail,18,21.0
2023,Lusail,20,21.0
2023,Lusail,40,21.0
2023,Lusail,22,22.0
2023,Lusail,81,25.0
2023,Lusail,16,25.0
2023,Lusail,31,25.0
2023,Lusail,14,26.0
2023,Lusail,10,26.0
2023,Lusail,2,26.0
2023,Lusail,4,27.0
2023,Lusail,27,27.0
2023,Lusail,11,31.0
2023,Lusail,23,31.0
2023,Lusail,63,32.0
2023,Lusail,1,34.0
2023,Lusail,24,35.0
2023,Lusail,77,39.0
2023,Lusail,18,39.0
2023,Lusail,20,39.0
2023,Lusail,40,39.0
2023,Lusail,27,39.0
2023,Lusail,22,40.0
2023,Lusail,81,43.0
2023,Lusail,16,43.0
2023,Lusail,31,43.0
2023,Lusail,11,43.0
2023,Lusail,4,44.0
2023,Lusail,14,44.0
2023,Lusail,10,44.0
2023,Lusail,23,44.0
2023,Lusail,63,50.0
2023,Lusail,1,51.0
2023,Lusail,24,52.0
2023,Austin,24,9.0
2023,Austin,23,10.0
2023,Austin,77,10.0
2023,Austin,20,10.0
2023,Austin,2,11.0
2023,Austin,1,16.0
2023,Austin,4,17.0
2023,Austin,55,17.0
2023,Austin,11,17.0
2023,Austin,22,17.0
2023,Austin,10,18.0
2023,Austin,14,19.0
2023,Austin,27,19.0
2023,Austin,44,20.0
2023,Austin,18,20.0
2023,Austin,63,21.0
2023,Austin,3,22.0
2023,Austin,16,23.0
2023,Austin,24,27.0
2023,Austin,77,28.0
2023,Austin,23,29.0
2023,Austin,20,29.0
2023,Austin,2,32.0
2023,Austin,4,34.0
2023,Austin,22,34.0
2023,Austin,27,34.0
2023,Austin,1,35.0
2023,Austin,55,35.0
2023,Austin,11,37.0
2023,Austin,10,37.0
2023,Austin,44,38.0
2023,Austin,63,39.0
2023,Austin,18,40.0
2023,Austin,14,42.0
2023,Austin,3,47.0
2023,Austin,22,54.0
2023,Mexico City,22,9.0
2023,Mexico City,4,11.0
2023,Mexico City,1,19.0
2023,Mexico City,24,21.0
2023,Mexico City,2,22.0
2023,Mexico City,27,23.0
2023,Mexico City,20,23.0
2023,Mexico City,44,24.0
2023,Mexico City,81,25.0
2023,Mexico City,63,26.0
2023,Mexico City,3,27.0
2023,Mexico City,10,28.0
2023,Mexico City,14,29.0
2023,Mexico City,55,30.0
2023,Mexico City,18,30.0
2023,Mexico City,16,31.0
2023,Mexico City,77,31.0
2023,Mexico City,1,33.0
2023,Mexico City,4,33.0
2023,Mexico City,23,33.0
2023,Mexico City,1,34.0
2023,Mexico City,16,34.0
2023,Mexico City,44,34.0
2023,Mexico City,55,34.0
2023,Mexico City,3,34.0
2023,Mexico City,81,34.0
2023,Mexico City,63,34.0
2023,Mexico City,22,34.0
2023,Mexico City,27,34.0
2023,Mexico City,4,34.0
2023,Mexico City,10,34.0
2023,Mexico City,23,34.0
2023,Mexico City,24,34.0
2023,Mexico City,31,34.0
2023,Mexico City,2,34.0
2023,Mexico City,77,34.0
2023,Mexico City,18,34.0
2023,Mexico City,14,34.0
2023,Interlagos,1,1.0
2023,Interlagos,4,1.0
2023,Interlagos,44,1.0
2023,Interlagos,14,1.0
2023,Interlagos,18,1.0
2023,Interlagos,63,1.0
2023,Interlagos,11,1.0
2023,Interlagos,55,1.0
2023,Interlagos,31,1.0
2023,Interlagos,22,1.0
2023,Interlagos,10,1.0
2023,Interlagos,77,1.0
2023,Interlagos,24,1.0
2023,Interlagos,2,1.0
2023,Interlagos,27,1.0
2023,Interlagos,1,2.0
2023,Interlagos,4,2.0
2023,Interlagos,44,2.0
2023,Interlagos,14,2.0
2023,Interlagos,18,2.0
2023,Interlagos,63,2.0
2023,Interlagos,11,2.0
2023,Interlagos,55,2.0
2023,Interlagos,31,2.0
2023,Interlagos,22,2.0
2023,Interlagos,10,2.0
2023,Interlagos,77,2.0
2023,Interlagos,24,2.0
2023,Interlagos,2,2.0
2023,Interlagos,27,2.0
2023,Interlagos,81,1.0
2023,Interlagos,3,1.0
2023,Interlagos,81,2.0
2023,Interlagos,3,2.0
2023,Interlagos,31,14.0
2023,Interlagos,24,15.0
2023,Interlagos,2,17.0
2023,Interlagos,44,18.0
2023,Interlagos,77,18.0
2023,Interlagos,63,19.0
2023,Interlagos,11,20.0
2023,Interlagos,27,21.0
2023,Interlagos,18,22.0
2023,Interlagos,14,25.0
2023,Interlagos,81,24.0
2023,Interlagos,55,26.0
2023,Interlagos,10,26.0
2023,Interlagos,22,26.0
2023,Interlagos,1,27.0
2023,Interlagos,4,27.0
2023,Interlagos,3,26.0
2023,Interlagos,31,31.0
2023,Interlagos,2,44.0
2023,Interlagos,63,45.0
2023,Interlagos,11,46.0
2023,Interlagos,44,46.0
2023,Interlagos,10,46.0
2023,Interlagos,27,46.0
2023,Interlagos,14,47.0
2023,Interlagos,55,51.0
2023,Interlagos,31,51.0
2023,Interlagos,18,52.0
2023,Interlagos,81,52.0
2023,Interlagos,22,55.0
2023,Interlagos,1,56.0
2023,Interlagos,3,55.0
2023,Interlagos,4,59.0
2023,Las Vegas,11,1.0
2023,Las Vegas,14,1.0
2023,Las Vegas,77,1.0
2023,Las Vegas,18,3.0
2023,Las Vegas,55,3.0
2023,Las Vegas,22,10.0
2023,Las Vegas,27,12.0
2023,Las Vegas,20,14.0
2023,Las Vegas,63,15.0
2023,Las Vegas,2,15.0
2023,Las Vegas,1,16.0
2023,Las Vegas,23,16.0
2023,Las Vegas,81,16.0
2023,Las Vegas,10,17.0
2023,Las Vegas,3,17.0
2023,Las Vegas,44,17.0
2023,Las Vegas,31,20.0
2023,Las Vegas,16,21.0
2023,Las Vegas,22,21.0
2023,Las Vegas,77,24.0
2023,Las Vegas,11,26.0
2023,Las Vegas,1,26.0
2023,Las Vegas,18,26.0
2023,Las Vegas,63,26.0
2023,Las Vegas,55,26.0
2023,Las Vegas,14,26.0
2023,Las Vegas,24,26.0
2023,Las Vegas,20,26.0
2023,Las Vegas,27,26.0
2023,Las Vegas,44,26.0
2023,Las Vegas,81,43.0
2023,Yas Marina Circuit,20,5.0
2023,Yas Marina Circuit,3,7.0
2023,Yas Marina Circuit,14,12.0
2023,Yas Marina Circuit,81,13.0
2023,Yas Marina Circuit,27,13.0
2023,Yas Marina Circuit,24,13.0
2023,Yas Marina Circuit,63,14.0
2023,Yas Marina Circuit,4,14.0
2023,Yas Marina Circuit,44,15.0
2023,Yas Marina Circuit,31,15.0
2023,Yas Marina Circuit,2,15.0
2023,Yas Marina Circuit,1,16.0
2023,Yas Marina Circuit,23,16.0
2023,Yas Marina Circuit,16,17.0
2023,Yas Marina Circuit,11,17.0
2023,Yas Marina Circuit,10,17.0
2023,Yas Marina Circuit,22,22.0
2023,Yas Marina Circuit,18,22.0
2023,Yas Marina Circuit,20,22.0
2023,Yas Marina Circuit,55,23.0
2023,Yas Marina Circuit,77,29.0
2023,Yas Marina Circuit,3,31.0
2023,Yas Marina Circuit,10,32.0
2023,Yas Marina Circuit,4,33.0
2023,Yas Marina Circuit,27,33.0
2023,Yas Marina Circuit,63,34.0
2023,Yas Marina Circuit,16,35.0
2023,Yas Marina Circuit,44,35.0
2023,Yas Marina Circuit,81,36.0
2023,Yas Marina Circuit,14,36.0
2023,Yas Marina Circuit,24,37.0
2023,Yas Marina Circuit,2,41.0
2023,Yas Marina Circuit,11,42.0
2023,Yas Marina Circuit,18,42.0
2023,Yas Marina Circuit,1,43.0
2023,Yas Marina Circuit,23,43.0
2023,Yas Marina Circuit,55,56.0
2024,Sakhir,27,1.0
2024,Sakhir,24,9.0
2024,Sakhir,18,9.0
2024,Sakhir,31,10.0
2024,Sakhir,2,10.0
2024,Sakhir,63,11.0
2024,Sakhir,16,11.0
2024,Sakhir,20,11.0
2024,Sakhir,11,12.0
2024,Sakhir,81,12.0
2024,Sakhir,44,12.0
2024,Sakhir,10,12.0
2024,Sakhir,77,12.0
2024,Sakhir,4,13.0
2024,Sakhir,3,13.0
2024,Sakhir,55,14.0
2024,Sakhir,22,14.0
2024,Sakhir,14,15.0
2024,Sakhir,23,15.0
2024,Sakhir,1,17.0
2024,Sakhir,27,20.0
2024,Sakhir,18,27.0
2024,Sakhir,24,28.0
2024,Sakhir,2,28.0
2024,Sakhir,31,30.0
2024,Sakhir,63,31.0
2024,Sakhir,77,30.0
2024,Sakhir,10,31.0
2024,Sakhir,20,32.0
2024,Sakhir,4,33.0
2024,Sakhir,44,33.0
2024,Sakhir,16,34.0
2024,Sakhir,81,34.0
2024,Sakhir,22,34.0
2024,Sakhir,55,35.0
2024,Sakhir,3,35.0
2024,Sakhir,11,36.0
2024,Sakhir,23,36.0
2024,Sakhir,1,37.0
2024,Sakhir,14,41.0
2024,Sakhir,2,40.0
2024,Sakhir,27,41.0
2024,Sakhir,10,43.0
2024,Jeddah,1,7.0
2024,Jeddah,11,7.0
2024,Jeddah,16,7.0
2024,Jeddah,81,7.0
2024,Jeddah,14,7.0
2024,Jeddah,63,7.0
2024,Jeddah,22,7.0
2024,Jeddah,38,7.0
2024,Jeddah,20,7.0
2024,Jeddah,23,7.0
2024,Jeddah,31,7.0
2024,Jeddah,77,7.0
