Circuit,n,MAE,median_AE,bias
Spa-Francorchamps,1611,0.43128491385368406,0.32899143111151796,0.12826370251569943
Bahrain,1672,0.42412380722287574,0.3398456884181983,0.35173886012752176
Enzo e Dino Ferrari,1046,0.3844810271652833,0.2676920818644757,0.154723194273669
Zandvoort,1301,0.30772903565694193,0.2280290794026154,0.11592434129389549
Red Bull Ring,1346,0.3057464064753239,0.21911612827926094,0.05118690379152833
