model,p,val_MAE,val_R2,test_MAE,test_RMSE,test_R2,n_test
3) Tyre+Weather+State (Linear),63,0.3435129762516339,0.17811312979917804,0.3651402208350244,0.5210375145659721,0.23860116572939216,6976
1) Tyre (Linear),48,0.38222619969433574,-0.025840434178913574,0.4533037752073474,0.642453293833166,-0.15759686155524855,6976
2) Tyre+Weather (Linear),54,0.3922897467969212,-0.03715146711665396,0.4680842541631753,0.6561660135049675,-0.2075404420298872,6976
4) Tyre+Weather+State+Geometry (Linear),74,0.8085952872311251,-2.29488182185252,0.6581015286156243,0.8203175714305548,-0.8872883073239748,6976
